Var #,Bucket / Workflow Stage,Variable Name,Data Type,"Representative / Possible Values (Ranges, Constraints & Examples)",Relevant Data Standard(s),CDM Entity,Cardinality,Dependency Type,Data Sensitivity Flag,Confidence in Representative / Possible Values,Confidence this Variable is Collected in the EGFR NSCLC Diagnostic Pathway
11,Bucket 1 - Clinical Context and Administration,Baseline full blood count / haematology results,Float (numeric results with units) - multi-component,"Multi-component Float panel. Normal reference ranges (adult): WBC: 3.6–11.0 ×10⁹/L; RBC: 4.5–6.5 ×10¹²/L (male) / 3.8–5.8 ×10¹²/L (female); Haemoglobin: male 130–180 g/L; female 115–165 g/L; Haematocrit: male 0.40–0.54 L/L; female 0.37–0.47 L/L; MCV: 80–100 fL; MCH: 27–32 pg; Platelets: 140–400 ×10⁹/L; Neutrophils: 1.8–7.5 ×10⁹/L. 

Constraints / Possible Values
WBC: 3.6–11.0 ×10⁹/L | RBC: 3.8–5.8 (female) / 4.5–6.5 (male) ×10¹²/L | Hb: 115–165 g/L (female) / 130–180 g/L (male) | Haematocrit: 0.37–0.47 L/L (female) / 0.40–0.54 L/L (male) | MCV: 80–100 fL | MCH: 27–32 pg | Plt: 140–400 ×10⁹/L | Neutrophils: 1.8–7.5 ×10⁹/L",LOINC | SNOMED CT | OMOP CDM | HL7 FHIR (structural),BaselineLabResults,1:N - FBC may be repeated at baseline and pre-treatment checks,ALWAYS,CLINICAL-SENSITIVE,High,High
12,Bucket 1 - Clinical Context and Administration,Baseline renal function (eGFR),Float (mL/min/1.73m²),"Type: Float (mL/min/1.73m²). Range: 0.0–120.0.

Constraints / Possible Values
eGFR: G1 ≥90 mL/min/1.73m² (normal/high) | G2 60–89 (mild) | G3a 45–59 | G3b 30–44 | G4 15–29 (severe) | G5 <15 (kidney failure) | Unit: mL/min/1.73m²",LOINC | SNOMED CT | OMOP CDM | HL7 FHIR (structural) | NHS Data Dictionary,BaselineLabResults,1:N - eGFR may be repeated at multiple timepoints,ALWAYS,CLINICAL-SENSITIVE,High,High
13,Bucket 1 - Clinical Context and Administration,"Baseline ECG result (QTc interval, ms)",Float (ms) + Boolean (QTc prolongation flag),"Compound: QTc_ms (Float, ms) + QTc_prolongation_flag (Boolean) + correction_formula (Enum: Bazett | Fredericia | Fridericia | Other). QTc_ms range: 300–700 ms.

Constraints / Possible Values
QTc: 300–700 | Unit: ms",LOINC | SNOMED CT | OMOP CDM | HL7 FHIR (structural),BaselineLabResults,1:N - ECG may be repeated (pre-treatment and monitoring),ALWAYS,CLINICAL-SENSITIVE,High,High
14,Bucket 1 - Clinical Context and Administration,Baseline liver function tests (LFTs),Float - multi-component,"Multi-component Float panel (UK NHS units). ALT: 0–40 IU/L; AST: 10–40 IU/L; Total Bilirubin: 5–21 µmol/L; GGT: 8–61 U/L; ALP: 30–130 IU/L for adults ≥18 years; Total Protein: 64–83 g/L; Albumin: 35–50 g/L.

Constraints / Possible Values
ALT: 0–40 IU/L | AST: 10–40 IU/L | ALP: 30–130 IU/L | Bilirubin: 5–21 µmol/L | Albumin: 35–50 g/L | GGT: 8–61 U/L | Total protein: 64–83 g/L",LOINC | SNOMED CT | OMOP CDM | HL7 FHIR (structural) | ISO 15189,BaselineLabResults,1:N - LFTs may be repeated at multiple timepoints,ALWAYS,CLINICAL-SENSITIVE,High,High
15,Bucket 1 - Clinical Context and Administration,NICE NG12 / urgent suspected cancer referral pathway triggered,Boolean + Enum (pathway type),"Compound: referral_triggered (Boolean) + pathway_type (Enum: NG12_1.1.1 | NG12_1.1.2 | NG12_1.1.3); Note: uncertain if this documentation is routinely used, values refer to the corresponding NG NICE guidelines.

Constraints / Possible Values
NG12_1.1.1 / NG12_1.1.2 / NG12_1.1.3 ",SNOMED CT | NHS Data Dictionary | OMOP CDM | HL7 FHIR (structural),ClinicalPresentation,1:1 - One referral pathway trigger per episode,ALWAYS,CLINICAL-SENSITIVE,High,High
16,Bucket 1 - Clinical Context and Administration,Imaging order - accession number,"String (alphanumeric, institution-defined format)","Type: String. Format: alphanumeric, institution-defined. Maximum 16 characters. Typically 8–16 chars in practice. DICOM tag (0008,0050).

Constraints / Possible Values
Format: Institution-defined alphanumeric string, maximum 16 characters (DICOM SH VR limit, DICOM PS3.5) | Examples: ACC202003010245, 2020-03-0098765, HSP-5432187",DICOM | HL7 FHIR (structural) | OMOP CDM,ReferralRecord,1:N - Multiple imaging orders possible per patient episode,ALWAYS,CLINICAL-SENSITIVE,High,High
17,Bucket 1 - Clinical Context and Administration,Date of first clinical presentation / diagnosis date,Date (ISO 8601 format: YYYY-MM-DD),"Type: Date. Format: ISO 8601 YYYY-MM-DD. Range: 1900-01-01 to current date (no future dates). Must be ≤ date of biopsy AND ≤ date of first treatment. 

Constraints / Possible Values
Format: ISO 8601 date (YYYY-MM-DD) or datetime (YYYY-MM-DDTHH:MM:SSZ) | Unit: UTC timestamp",SNOMED CT | LOINC | OMOP CDM | HL7 FHIR (structural) | NHS Data Dictionary,ClinicalPresentation,1:1 - One diagnosis date per primary NSCLC episode,ALWAYS,PII,High,High
18,Bucket 2 - Imaging and Staging,Imaging modality,Enum (multi-value - multiple modalities may be used per episode),"Enum. Allowed values: CT | PT | MR | CR | DX | NM | US

Constraints / Possible Values
CT / MR / PT / NM / CR / DX / US | Format: 2-char uppercase DICOM modality code (DICOM tag 0008,0060)",DICOM | SNOMED CT | LOINC | OMOP CDM | HL7 FHIR (structural),ImagingStudy,"1:N - Multiple imaging modalities per episode (CT, PET, MRI)",ALWAYS,CLINICAL-SENSITIVE,High,High
19,Bucket 2 - Imaging and Staging,DICOM series UID / study UID,"String (DICOM UID format: up to 64 characters, dot-separated integers)","Type: String. DICOM UID format: dot-separated numeric string, max 64 chars (e.g. 1.3.6.1.4.1.14519.5.2.1.xxx). Study Instance UID (0020,000D) groups all series from one imaging examination; Series Instance UID (0020,000E) identifies individual acquisition series. Must be globally unique.

Constraints / Possible Values
Format: dot-separated numeric string (OID-based, ISO/IEC 8824), max 64 characters | Study UID and Series UID are distinct identifiers",DICOM | HL7 FHIR (structural) | OMOP CDM,ImagingStudy,1:N - Multiple DICOM studies per patient,ALWAYS,CLINICAL-SENSITIVE,High,High
20,Bucket 2 - Imaging and Staging,Scan acquisition date,Date (ISO 8601: YYYY-MM-DD),"Type: Date+Time. DICOM native: YYYYMMDD; ISO 8601 export: YYYY-MM-DD (or YYYY-MM-DDTHH:MM:SS with UTC offset where time is available). DICOM native: Acquisition Date tag (0008,0022) in YYYYMMDD format; Study Date (0008,0020) used as fallback where acquisition date is absent.

Constraints / Possible Values
Format: ISO 8601 date (YYYY-MM-DD) or datetime with time and UTC offset (signed time difference between local time and UTC, written as ± HH:MM)",DICOM | SNOMED CT | HL7 FHIR (structural) | OMOP CDM,ImagingStudy,1:N - Multiple scan acquisition dates per patient,ALWAYS,CLINICAL-SENSITIVE,High,High
21,Bucket 2 - Imaging and Staging,"CT acquisition parameters (kVp, mAs, slice thickness)",Float / Integer - multi-component,"Multi-component: Kilovolt peak: (kVp - Integer) + tube current-time product (mAs) + Slice_thickness_mm (Float) + Pitch (Float).

Constraints / Possible Values
kVp: 80–140 kV (integer) | mAs: 10–500 mAs (float) | Slice thickness: 0.5–2.5 mm acquisition (float); ≤1 mm preferred | Pitch: 0.8–1.5 (float)",DICOM | LOINC | HL7 FHIR (structural),ImagingStudy,1:N - CT parameters vary per scan acquisition,ALWAYS,CLINICAL-SENSITIVE,High,High
22,Bucket 2 - Imaging and Staging,PET radiopharmaceutical injected dose (MBq) and uptake time (min),Float (MBq for dose; Integer for uptake time in minutes),"Injected_dose: Float (MBq). Uptake_time_min: Float (derived) = Acquisition_Time minus Injection_Time.

Constraints / Possible Values
Injected dose: 150–400 MBq | Uptake time: 60 ± 10 min | Delayed protocol: 90–120 min | Unit: MBq (dose), minutes (uptake)",DICOM | SNOMED CT | LOINC | HL7 FHIR (structural),ImagingStudy,1:N - PET performed at staging and potentially monitoring,CONDITIONAL,CLINICAL-SENSITIVE,High,Medium
23,Bucket 2 - Imaging and Staging,Clinical T-stage (TNM 8th edition),Enum (coded - TNM 8th edition),"Enum. Allowed values: TX | T0 | Tis | T1mi | T1a | T1b | T1c | T2a | T2b | T3 | T4. NULL permitted pre-staging but mandatory after MDT review.

Constraints / Possible Values
TX / T0 / Tis / T1mi / T1a / T1b / T1c / T2a / T2b / T3 / T4 ",TNM 8th Edition | SNOMED CT | ICD-O-3 | OMOP CDM | HL7 FHIR (structural),StagingAssessment,1:1 - T-stage assigned once per staging episode (restaging creates new record),ALWAYS,CLINICAL-SENSITIVE,High,High
24,Bucket 2 - Imaging and Staging,Clinical N-stage (TNM 8th edition),Enum (coded - TNM 8th edition),"Enum. Allowed values: NX | N0 | N1 | N2 | N3. NX = regional lymph nodes cannot be assessed; N0 = no regional lymph node metastasis; N1 = ipsilateral intrapulmonary, peribronchial, or hilar nodes; N2 = ipsilateral mediastinal and/or subcarinal nodes; N3 = metastasis in contralateral mediastinal or hilar lymph nodes, or ipsilateral or contralateral scalene or supraclavicular lymph nodes

Constraints / Possible Values
N0 (no nodes) / N1 (ipsilateral hilar/intrapulmonary) / N2 (ipsilateral mediastinal/subcarinal) / N3 (contralateral/hilar/ipsilateral/scalene/supraclavicular) ",TNM 8th Edition | SNOMED CT | OMOP CDM | HL7 FHIR (structural),StagingAssessment,1:1 - N-stage assigned once per staging episode,ALWAYS,CLINICAL-SENSITIVE,High,High
25,Bucket 2 - Imaging and Staging,Clinical M-stage and metastatic sites (TNM 8th edition),Enum + multi-value (coded - TNM 8th edition),"M-stage Enum: M0 | M1a (contralateral lung nodule; malignant pleural nodules; malignant pleural effusion; pericardial effusion/nodules - all intrathoracic) | M1b (single extrathoracic metastasis in one organ) | M1c (multiple extrathoracic metastases in one or more organs).

Constraints / Possible Values
M0 / M1a (intrathoracic: contralateral lung nodule, malignant pleural/pericardial effusion or nodules) / M1b (single extrathoracic) / M1c (multiple extrathoracic) | Common extrathoracic sites: brain / bone / adrenal / liver / kidney / soft tissue",TNM 8th Edition | SNOMED CT | ICD-10 | OMOP CDM | HL7 FHIR (structural),StagingAssessment,1:1 - M-stage assigned once per staging episode,ALWAYS,CLINICAL-SENSITIVE,High,High
26,Bucket 2 - Imaging and Staging,Primary tumour diameter - RECIST 1.1 target lesion (mm),Float (mm),"Type: Float (mm). Range: 0.0–300 mm. 

Constraints / Possible Values
Type: float | 0 | Max: 300 | Unit: mm",RECIST 1.1 | DICOM | LOINC | SNOMED CT | HL7 FHIR (structural),StagingAssessment,1:N - Tumour diameter measured at baseline and each monitoring timepoint,ALWAYS,CLINICAL-SENSITIVE,High,High
27,Bucket 2 - Imaging and Staging,"SUV max (standardised uptake value, maximum - PET-CT)","Float (standardised uptake value - dimensionless, body-weight normalised)","Type: Float (dimensionless, body-weight normalised). Clinical range: 0.0–40+

Constraints / Possible Values
Type: float | Min: 0 | Max: 40+ (no hard ceiling) | Unit: dimensionless",SNOMED CT | LOINC | DICOM | OMOP CDM | HL7 FHIR (structural),ImagingStudy,1:N - SUVmax recorded per PET study,CONDITIONAL,CLINICAL-SENSITIVE,High,Medium
28,Bucket 2 - Imaging and Staging,Brain imaging findings (MRI / CT),Structured (Boolean + Integer + Float - multi-component),"Compound: metastasis_present (Boolean) + number_of_lesions (Integer ≥0) + largest_lesion_mm (Float, 1–60 mm) + lesion_location (SNOMED CT brain anatomy codes) + lesion_edema_present (Boolean). 

Constraints / Possible Values
metastasis_present: true/false | Lesion count: 0–20+ | Largest lesion: 1–60 mm | Locations: frontal / parietal / temporal / occipital / cerebellar / brainstem | lesion_edema_present: true/false | Likely given in a report format",SNOMED CT | ICD-10 | DICOM | OMOP CDM | HL7 FHIR (structural),ImagingStudy,1:N - Brain imaging may be repeated at staging and progression,CONDITIONAL,CLINICAL-SENSITIVE,High,High
29,Bucket 2 - Imaging and Staging,Biopsy target anatomical location (SNOMED CT coded),Coded (SNOMED CT anatomical location code),"Type: SNOMED CT coded anatomical concept. Common sites: lung, mediastinal lymph node, left lower lobe, thoracic lymph node, adrenal gland, liver, brain, pleura. 

Constraints / Possible Values
Lung / Mediastinal lymph node / Specific lobe / Adrenal gland / Liver / Brain / Pleura / Lymph node | Laterality: left / right / bilateral",SNOMED CT | ICD-O-3 | OMOP CDM | HL7 FHIR (structural),ImagingStudy,1:1 - One primary biopsy target per procedure,ALWAYS,CLINICAL-SENSITIVE,High,High
30,Bucket 2 - Imaging and Staging,Overall AJCC clinical stage (Stage I–IV),Enum (AJCC 8th edition),"Enum. Allowed values: Stage 0 | IA1 | IA2 | IA3 | IB | IIA | IIB | IIIA | IIIB | IIIC | IVA | IVB. Stage 0 = Tis (adenocarcinoma in situ or squamous cell carcinoma in situ), N0, M0. Must be logically consistent with T, N, M sub-stages. NULL not permitted after confirmed MDT staging.

Constraints / Possible Values
Stage 0 / IA1 / IA2 / IA3 / IB / IIA / IIB / IIIA / IIIB / IIIC / IVA / IVB ",TNM 8th Edition | SNOMED CT | ICD-O-3 | OncoTree | OMOP CDM | HL7 FHIR (structural),StagingAssessment,1:1 - Overall stage assigned per staging episode,GATEWAY,CLINICAL-SENSITIVE,High,High
31,Bucket 2 - Imaging and Staging,Radiologist report - DICOM SR / structured report,Structured text (DICOM SR) or free-text (HL7 ORU),"Type: Structured text (DICOM SR SOP Class, e.g. Comprehensive SR, Basic Text SR) or free text (HL7 ORU R01). Sections of report may include: Indication, Technique (including modality and acquisition parameters), Findings, Impression/Conclusion, Recommendation/Management, Staging Assessment. DICOM SR Templates: TID 2000 (Basic Diagnostic Imaging Report), TID 1500 (Measurement Report for quantitative data including lesion measurements and SUVmax).

Constraints / Possible Values
DICOM Structured Report (SR) or HL7 ORU free-text message. Standard sections: Indication / Technique / Findings / Impression / Recommendation / Staging Assessment",DICOM | HL7 FHIR (structural) | SNOMED CT | LOINC,ImagingStudy,1:N - Multiple radiologist reports possible per patient,ALWAYS,CLINICAL-SENSITIVE,High,High
32,Bucket 3 - Tissue Biopsy: Pre-Analytical and Pathology,Biopsy procedure technique,Enum,"Enum: Bronchoscopy_BAL | Bronchoscopy_endobronchial | Bronchoscopy_brushings | Bronchoscopy_washings | EBUS-TBNA | EBUS_cryobiopsy | EUS-FNA | CT-guided_core_needle | CT-guided_FNA | VATS_wedge | VATS_lobectomy | Surgical_lobectomy | Surgical_pneumonectomy | Ultrasound-guided_biopsy | TBLC_cryobiopsy | ENB_guided_biopsy | Pleural_biopsy_image_guided | Other

Constraints / Possible Values
EBUS-TBNA / CT-guided percutaneous needle biopsy (TTNB) / Bronchoscopy with forceps biopsy / Endobronchial biopsy / EUS-guided biopsy / VATS / Surgical open biopsy / TBLC / ENB-guided / Pleural biopsy / Other | Source: BTS Guidelines for Diagnostic Flexible Bronchoscopy",SNOMED CT | HL7 FHIR (structural) | OMOP CDM,TissueSample,1:N - Patient may have multiple biopsy procedures (initial + re-biopsy at progression),CONDITIONAL,CLINICAL-SENSITIVE,High,High
33,Bucket 3 - Tissue Biopsy: Pre-Analytical and Pathology,Number of passes / cores obtained,Integer,"Type: Integer. Range: 1–12 (practical estimate; may vary between different biopsy techniques)

Constraints / Possible Values
Type: integer | Min: 1 | Max: 12 (estimate) |Unit: count",LOINC | HL7 FHIR (structural) | OMOP CDM,TissueSample,1:N - Passes/cores vary per biopsy procedure,CONDITIONAL,CLINICAL-SENSITIVE,Medium,Medium
34,Bucket 3 - Tissue Biopsy: Pre-Analytical and Pathology,ROSE result (Rapid On-Site Evaluation),Enum,"Enum: Adequate | Borderline_adequate | Inadequate | Not_performed. NULL not permitted - must be recorded even if not performed.

Constraints / Possible Values
Adequate / Borderline_adequate / Inadequate / Not performed ",SNOMED CT | HL7 FHIR (structural) | OMOP CDM,TissueSample,1:1 - One ROSE result per biopsy procedure,CONDITIONAL,CLINICAL-SENSITIVE,High,Medium
35,Bucket 3 - Tissue Biopsy: Pre-Analytical and Pathology,Specimen category,Enum,"Enum: Histology_core_needle | Cytology_FNA | Cell_block | Cytology_direct_smear | Cytology_liquid_based_preparation | Cytology_touch_prep | Pleural_fluid_cytology | Bronchial_wash_cytology | Surgical_resection. 

Constraints / Possible Values
Histology_core_needle / Cytology_FNA / Cell_block / Cytology_direct_smear / Cytology_liquid_based_preparation / Cytology_touch_prep / Pleural_fluid_cytology / Bronchial_wash_cytology / Surgical_resection | Source: GDC Data Dictionary (sample_type enumeration); TCGA biospecimen classification standard",SNOMED CT | HL7 FHIR (structural) | OMOP CDM | SPREC,TissueSample,1:N - Multiple specimen categories possible from one biopsy procedure,CONDITIONAL,CLINICAL-SENSITIVE,High,High
36,Bucket 3 - Tissue Biopsy: Pre-Analytical and Pathology,Preparation format,Enum,"Enum: FFPE_block | Fresh_frozen_OCT | Fresh_unfixed | Alcohol_fixed_cytology | Liquid_based_cytology_ThinPrep | Liquid_based_cytology_SurePath | Cytology_direct_smear | Cytology_cell_block | Touch_preparation | Decalcified_FFPE. NULL not permitted.

Constraints / Possible Values
FFPE / Fresh (unfixed) / Fresh-frozen / Alcohol-fixed / Liquid-based cytology (ThinPrep/SurePath) / Air-dried smear / Cytospin / Cell block / Touch prep / OCT-embedded / Decalcified FFPE / Other ",SPREC | SNOMED CT | HL7 FHIR (structural) | ISO 15189 / CLSI,TissueSample,1:1 - One preparation format per specimen,CONDITIONAL,CLINICAL-SENSITIVE,High,High
37,Bucket 3 - Tissue Biopsy: Pre-Analytical and Pathology,Fixation duration (hours in fixative),Float (hours),"Type: Float (hours). Acceptable range: 6.0–72.0 (ASCO/CAP guidance). FoundationOne CDx requires 6–72h NBF; under-fixation or non-standard fixatives trigger rejection.

Constraints / Possible Values
Type: float | Min: 1.0 | Max: 72.0 | Optimal for NGS: 6–48 hours | Acceptable: 6–72 hours | Recommended: 24 hours | Unit: hours ",SPREC | ISO 15189 / CLSI | HL7 FHIR (structural) | OMOP CDM,TissueSample,1:1 - One fixation duration per FFPE specimen,CONDITIONAL,CLINICAL-SENSITIVE,High,Medium
38,Bucket 3 - Tissue Biopsy: Pre-Analytical and Pathology,Decalcification method,Enum,"Enum: None | EDTA_based_non-acid | Formic_acid_based | HCl_based_strong_acid | Other_acid_based.

Constraints / Possible Values
None / EDTA_based_non-acid / Formic_acid_based / HCl_based_strong_acid / Other_acid_based / Electrolytic | Note: Strong acid decalcification destroys DNA and precludes molecular testing. Rarely required for primary NSCLC biopsies but applies to bone metastasis specimens.",SPREC | SNOMED CT | HL7 FHIR (structural),TissueSample,1:1 - One decalcification method per specimen,CONDITIONAL,CLINICAL-SENSITIVE,High,Medium
39,Bucket 3 - Tissue Biopsy: Pre-Analytical and Pathology,Tumour cellularity (% tumour nuclei),Integer / Float (percentage),"Type: Float (%). Range: 0.0–100.0. Minimum for NGS: ≥20% (FoundationOne CDx, Oncomine Dx); optimal: ≥30% (FoundationOne CDx requirement); Sanger sequencing: ≥50%; sensitive PCR/ddPCR: ≥5%. Enrichment zone: 10–20% - enrichment recommended before NGS. Values below 20% require tumour enrichment before extraction. 

Constraints / Possible Values
Type: integer (or float) | Min: 0 | Max: 100 | NGS-eligible minimum: ≥20% | Optimal for NGS: ≥30% (FoundationOne CDx) | Sanger sequencing minimum: ≥50% | Sensitive PCR minimum: ≥5% | Enrichment zone: 10–20% | Typical NSCLC FFPE biopsy: 40–90% | Clinical threshold: <20% triggers enrichment or reflex liquid biopsy | Unit: % tumour nuclei",LOINC | SNOMED CT | HL7 FHIR (structural) | OMOP CDM,TissueSample,1:1 - One cellularity assessment per specimen,CONDITIONAL,CLINICAL-SENSITIVE,High,High
40,Bucket 3 - Tissue Biopsy: Pre-Analytical and Pathology,Tumour enrichment performed (boolean),Boolean + Enum (method),"Type: Boolean: True | False. If True, must record post-enrichment cellularity estimate. 

Constraints / Possible Values
[Sub-field 1] enrichment_performed: Boolean - True / False | [Sub-field 2] enrichment_method (if True): Macrodissection / Laser_capture_microdissection_(LCM) / Scraping / Manual_dissection / FACS / Other | [Sub-field 3] post_enrichment_cellularity: Float % (mandatory if enrichment_performed = True) | [Sub-field 4] enrichment_trigger (optional): cellularity_below_threshold / complex_morphology / request_by_molecular_lab ",SNOMED CT | HL7 FHIR (structural) | OMOP CDM | ISO 15189 / CLSI,TissueSample,1:1 - One enrichment decision per specimen,CONDITIONAL,CLINICAL-SENSITIVE,High,Medium
